DestinationRef,Longitude,Latitude,Cluster
3001BR,151.0012589,-33.7975559,0
3002BR,149.2063,-35.347,0
3003BR,147.343011,-35.122016,0
3004BR,150.850019790289,-33.7609951000622,0
3005BR,153.129468098807,-30.2871257769877,2
3006BR,151.0618,-33.9378,0
3007BR,149.138642929604,-35.2158955349674,0
3008BR,151.661852,-32.961623,0
3009BR,150.69636269708,-33.7428174231798,0
3010BR,151.086686193552,-33.7219192040962,0
3011BR,150.908286594431,-33.7471312511648,0
3012BR,150.891714428309,-34.4295996764556,0
3013BR,151.327601073669,-33.4164928053447,0
3014BR,151.743010710594,-32.9173535335005,0
3015BR,151.211419477368,-33.8978199960113,0
3016BR,151.191354,-33.817031,0
3017BR,149.1314,-35.27565,0
3018BR,150.8161,-33.7838746304432,0
3019BR,150.9995,-33.9396,0
3020BR,151.274202,-33.766726,0
3021BR,152.888660339891,-31.4486267902689,2
3022BR,152.936172,-29.688706,2
3023BR,151.126993,-34.031554,0
3024BR,149.7018,-34.7624,0
3025BR,150.413271,-34.481945,0
3026BR,150.890825568223,-33.8524753318727,0
3027BR,151.032860228381,-33.8128160774982,0
3028BR,150.933901,-33.929643,0
3029BR,151.387656,-33.434333,0
3030BR,150.89295,-34.4084,0
3031BR,150.84934710125,-34.4497393110569,0
3032BR,150.8175,-34.57229,0
3033BR,151.147403925963,-33.890075501232,0
3034BR,150.811020558875,-33.6188948421492,0
3035BR,148.615848,-32.243218,0
3036BR,151.145839088858,-33.9591544564331,0
3037BR,146.066814515193,-34.2900954427003,0
3039BR,149.087419904112,-35.3546474498964,0
3040BR,150.977016,-33.734127,0
3041BR,151.3065,-33.6745,0
3042BR,151.6375,-32.787,0
3043BR,150.763693,-34.025752,0
3044BR,150.603537752138,-34.8784533252479,0
3045BR,141.471104410183,-31.954948591749,4
3046BR,152.07,-32.7528,0
3047BR,151.045013,-33.845607,0
3048BR,150.9076,-31.09149,2
3049BR,151.6474,-30.5164,2
3050BR,151.197710948609,-33.7869983205824,0
3051BR,151.12454722378,-33.8172756784648,0
3052BR,151.476,-33.1156,0
3053BR,151.072688701742,-34.0265833350664,0
3054BR,151.253384497947,-33.9013039369615,0
3055BR,151.695316,-32.988795,0
3056BR,151.143935899253,-33.7513278474207,0
3057BR,151.171207673331,-32.5611488763441,0
3058BR,151.353437,-32.840866,0
3059BR,150.843686,-34.463208,0
3060BR,150.8404146,-33.7169471,0
3061BR,150.879878701743,-33.9276409878478,0
3062BR,151.515785816527,-32.7121331478773,0
3063BR,151.497378948036,-33.2373286591614,0
