DestinationRef,Longitude,Latitude,State,BranchDeliveryVolumeInCBM,X_km,Y_km,Cluster_K2,Cluster_K3,Cluster_K4,Cluster_K5
3001BR,151.0012589,-33.7975559,New South Wales,91.1825180008159,13953.104578116907,-3758.116749065873,1,2,2,2
3002BR,149.2063,-35.347,New South Wales,100.41474152944053,13532.6563566866,-3930.407072105218,0,2,2,2
3003BR,147.343011,-35.122016,New South Wales,185.24565338332226,13400.776559199821,-3905.3899927290186,0,2,2,2
3004BR,150.850019790289,-33.7609951000622,New South Wales,30.670602047844394,13945.08055455691,-3754.051373598724,1,2,2,2
3005BR,153.129468098807,-30.2871257769877,New South Wales,149.0238350485101,14703.15590234195,-3367.7747290466714,1,1,1,1
3006BR,151.0618,-33.9378,New South Wales,58.66312632917749,13935.786313540759,-3773.711181477706,1,2,2,2
3007BR,149.138642929604,-35.2158955349674,New South Wales,94.27340351463815,13548.437575396125,-3915.8289207331436,0,2,2,2
3008BR,151.661852,-32.961623,New South Wales,75.57024101746977,14149.513224022583,-3665.1652515706005,1,2,2,2
3009BR,150.69636269708,-33.7428174231798,New South Wales,82.47367709278427,13933.829663082997,-3752.0301081512166,1,2,2,2
3010BR,151.086686193552,-33.7219192040962,New South Wales,67.47754962500898,13973.322925650195,-3749.7063322132135,1,2,2,2
3011BR,150.908286594431,-33.7471312511648,New South Wales,71.60008147636252,13952.722959930665,-3752.5097839375658,1,2,2,2
3012BR,150.891714428309,-34.4295996764556,New South Wales,86.82302235905954,13839.179706606517,-3828.396810425004,1,2,2,2
3013BR,151.327601073669,-33.4164928053447,New South Wales,159.90698672466388,14045.202437353279,-3715.744466208729,1,2,2,2
3014BR,151.743010710594,-32.9173535335005,New South Wales,118.03841499631821,14164.173913367373,-3660.2427114905945,1,2,2,2
3015BR,151.211419477368,-33.8978199960113,New South Wales,187.98139813263975,13956.135801411994,-3769.265607866933,1,2,2,2
3016BR,151.191354,-33.817031,New South Wales,151.5271358927953,13967.4906178542,-3760.2822813817684,1,2,2,2
3017BR,149.1314,-35.27565,New South Wales,140.66547711535975,13537.799342267435,-3922.4733140891285,0,2,2,2
3018BR,150.8161,-33.7838746304432,New South Wales,137.3449208051279,13938.222260165103,-3756.5954613011004,1,2,2,2
3019BR,150.9995,-33.9396,New South Wales,70.61530630403999,13929.744502277154,-3773.9113323456654,1,2,2,2
3020BR,151.274202,-33.766726,New South Wales,112.72041653084604,13983.35830281462,-3754.688620596914,1,2,2,2
3021BR,152.888660339891,-31.4486267902689,New South Wales,159.947053706838,14503.219518923865,-3496.927749016055,1,2,2,2
3022BR,152.936172,-29.688706,New South Wales,96.85806771865754,14773.370453179146,-3301.233485841871,1,1,1,1
3023BR,151.126993,-34.031554,New South Wales,118.62947045641309,13926.430169927657,-3784.1361506303397,1,2,2,2
3024BR,149.7018,-34.7624,New South Wales,60.47288246932032,13675.14744388078,-3865.4025179888085,1,2,2,2
3025BR,150.413271,-34.481945,New South Wales,91.60513658253929,13786.65378002408,-3834.2173448367093,1,2,2,2
3026BR,150.890825568223,-33.8524753318727,New South Wales,66.60944709293192,13933.947698508598,-3764.223511264319,1,2,2,2
3027BR,151.032860228381,-33.8128160774982,New South Wales,68.8746372507266,13953.536048927388,-3759.813603383368,1,2,2,2
3028BR,150.933901,-33.929643,New South Wales,65.27314657610846,13925.321161659263,-3772.8041644610657,1,2,2,2
3029BR,151.387656,-33.434333,New South Wales,67.76847179546137,14047.889064529974,-3717.7282053447498,1,2,2,2
3030BR,150.89295,-34.4084,New South Wales,41.09608766216364,13842.802113027954,-3826.039513956635,1,2,2,2
3031BR,150.84934710125,-34.4497393110569,New South Wales,108.77537791039947,13831.959534152791,-3830.636235617144,1,2,2,2
3032BR,150.8175,-34.57229,New South Wales,164.7527622121504,13808.71675211513,-3844.263250484412,1,2,2,2
