Scenario,ClusterID,State,Inventory_CBM
Cluster_K2,0,New South Wales,19648.69205074051
Cluster_K2,1,Western Australia,1420.2616014938646
Cluster_K3,0,New South Wales,9136.310818517342
Cluster_K3,1,Western Australia,1739.4581124640156
Cluster_K3,2,New South Wales,14928.324000179771
Cluster_K4,0,New South Wales,10125.055592287683
Cluster_K4,1,Western Australia,1820.676207939374
Cluster_K4,2,New South Wales,17152.45331863474
Cluster_K4,3,Queensland,697.8148811382048
Cluster_K5,0,New South Wales,10998.476473136663
Cluster_K5,1,Western Australia,2035.577882984491
Cluster_K5,2,New South Wales,5646.670143809527
Cluster_K5,3,Queensland,257.2551989145253
Cluster_K5,4,New South Wales,14374.961029946653
