Scenario,ClusterID,RDC_Latitude,RDC_Longitude,Total_Weighted_Distance
Cluster_K2,1,-31.920739194861692,115.86200484324661,25333.205894645223
Cluster_K3,0,-37.725575152407345,144.90714914497912,75102.42027939828
Cluster_K3,1,-31.920739194861692,115.86200484324661,25333.205894645223
Cluster_K4,0,-37.72831557548197,144.89033412631022,66860.24337013531
Cluster_K4,3,-17.464842577328607,145.6058190096556,15692.956688260267
Cluster_K4,1,-31.93701233627618,115.85138046842337,8788.758665940131
Cluster_K5,2,-33.82682359357519,150.95683982962623,18808.62521548012
Cluster_K5,0,-37.73495237843929,144.8827888604343,63068.34782637151
Cluster_K5,3,-12.437350849762076,130.88112691738354,1939.321515194864
Cluster_K5,1,-31.93701233627618,115.85138046842337,8788.758665940131
